,filename,text,pred_str
79,cv-valid-dev/sample-000079.mp3,AND FINALLY THE FALCON RETURNED WITH THEIR MEAL,AND FINALLY THE FORKAN RETURNED WITH THEIR MEAL
80,cv-valid-dev/sample-000080.mp3,TWO MORE MONTHS PASSED AND THE SHELF BROUGHT MANY CUSTOMERS INTO THE CRYSTAL SHOP,TWO MORE MONTHS PASSED AND THE SHOUT BROUGHT MANY CUSTOMERS INTO THE CRYSTAL SHOP
81,cv-valid-dev/sample-000081.mp3,HE DECANTED THE WINE AND BEGAN TO RECOUNT THE DISTURBING STORY HE HAD BEEN TOLD,HE DECONTED THE WINE AND BEGAN TO RECOUNT THE DISTURBING STORY HE HAD BEEN TOLD
82,cv-valid-dev/sample-000082.mp3,AT LEAST SHE KNOWS HOW TO BEHAVE AT FUNERALS,AT LEAST SHE KNOWS HOW TO BEHAVE AT FUNERALS
83,cv-valid-dev/sample-000083.mp3,LOOK AT THE POLICY I GAVE HIM,LOOK AT THE POLICY I GAVE HIM
84,cv-valid-dev/sample-000084.mp3,THEN I DON'T GET PAID,THEN I DON'T GET FATE
85,cv-valid-dev/sample-000085.mp3,I GOT TWO GIANT BUG BITES ON MY RIGHT LEG FROM LAST NIGHT AND THEY HURT,I GOT TO GIANT BUGBITES ON MY RIGHT LEG FROM LAST NIGHT AND THI HURT
86,cv-valid-dev/sample-000086.mp3,BUT THEY REALLY DON'T KNOW WHAT THEY'RE SAYING,BUT THEY REALLY DON'T KNOW WHAT THEY'RE SAYING
87,cv-valid-dev/sample-000087.mp3,AND ALSO BY UNHAPPINESS ENVY AND JEALOUSY,AND ALSO BY UNHAPPINESS ENVY AND JEALOUSY
88,cv-valid-dev/sample-000088.mp3,SOME OF THE GREY ASH WAS FALLING OFF THE CIRCULAR EDGE,SOME OF THE GRAY ASH WAS FALLING OFF THE CIRCULAR EDGE
89,cv-valid-dev/sample-000089.mp3,THE STRANGER SEEMED SATISFIED WITH THE ANSWER,THE STRANGER SEEMED SATISFIED WIT THE ANSWER
90,cv-valid-dev/sample-000090.mp3,I DON'T CARE WHAT YOU CHARGE THEM WITH,I DON'T CARE WHAT YOU CHARGE THEM WITH
91,cv-valid-dev/sample-000091.mp3,WHAT WAS ALL THAT,WHAT A BOSS OLD THAT
92,cv-valid-dev/sample-000092.mp3,IT WAS THE FIRST TIME SHE HAD DONE THAT,IT WAS THE FIRST TIME SHE HAD DONE THAT
93,cv-valid-dev/sample-000093.mp3,IT WAS FAINTLY MARKED WITH TRANSVERSE STRIPES AND SLIGHTLY FLATTENED FROM THE PERFECT ROUND,IT WAS FAINTLY MARKED WITH TRANSVERSED STRIPES AND SLIGHTLY FLATTENED FROM THE PERFECT GROUND
94,cv-valid-dev/sample-000094.mp3,WE CAN'T LET THE CHRONICLE GET THE LAUGH ON US,WE CAN'T LET THE CHRONICLE GET THE LAUGH ON US
95,cv-valid-dev/sample-000095.mp3,YOU'RE FAR TOO VALUABLE,YOU ARE FAR TOO BANDABLE
96,cv-valid-dev/sample-000096.mp3,THEY EAT LUNCH TOGETHER OFTEN BUT DONT REALLY TALK OUTSIDE THE OFFICE,THEY EAT LUNCH TOGETHER OFTEN BUT DON'T REALLY TALK OUTSIDE THE OFFICE
97,cv-valid-dev/sample-000097.mp3,A HALF A HEELOT,A HALF OF HELOT
98,cv-valid-dev/sample-000098.mp3,HUNCHES HIS MOTHER USED TO CALL THEM,HUNCHES HIS MOTHER USED TO CALL THEM
99,cv-valid-dev/sample-000099.mp3,IT IS RECOMMENDED TO DRINK AT LEAST TWO LITERS OF WATER A DAY,IT IS RECOMMENDED TO DRINK AT LEAST TWO LEADERS OF WATER A DAY
100,cv-valid-dev/sample-000100.mp3,VIBRATIONS OF PEACE THROUGHOUT THE TENT,BY BICIES OF PEACE THE THEY ARCITECT
101,cv-valid-dev/sample-000101.mp3,THOMAS WENT TO WAR,THOMAS WENT TO WAR
102,cv-valid-dev/sample-000102.mp3,THEY WERE IN AN IMMENSE SETTING SURROUNDED BY THOUSANDS OF PEOPLE SPEAKING A STRANGE LANGUAGE,THEY WERE IN AN IMMENSE SETTING SURROUNDED BY THOUSANDS OF PEOPLE SPEAKING A STRANGE LANGUAGE
103,cv-valid-dev/sample-000103.mp3,TANGIER IS NOT LIKE THE REST OF AFRICA,TANGIER IS NOT LIKE THE REST OF AFRICA
104,cv-valid-dev/sample-000104.mp3,I'LL HANG IT UP,I'LL HANG IT OP
105,cv-valid-dev/sample-000105.mp3,THERE IS A WAY OUT,THERE IS A WAY OUT
106,cv-valid-dev/sample-000106.mp3,I'M GOING WITH YOU THE BOY SAID,I'M GOING WITH YOU THE BOY SAID
107,cv-valid-dev/sample-000107.mp3,WHO IS YOUR FRIEND THE CHIEF ASKED,WHO IS YOUR FRIEND THE CHIEF ASKED
108,cv-valid-dev/sample-000108.mp3,I'LL TELL YOU IN A MINUTE,I'LL TELL YOU IN A MINUTE
109,cv-valid-dev/sample-000109.mp3,I THINK THEY PERCEIVED THAT NOTHING WAS TO BE DONE AT THE MOMENT,I THINK THEY PERCEIVED THAT NOTHING WAS TO BE DONE AT THE MOMENT
110,cv-valid-dev/sample-000110.mp3,IN SOME PLACES THE GROUND WAS COVERED WITH THE SALT OF DRIEDUP LAKES,IN SOME PLACES THE GROUND WAS COVERED WITH A SALT OF DRIED UP LAKES
111,cv-valid-dev/sample-000111.mp3,THAT'S WHY I WAS SENT DOWN HERE,THAT'S WHY I WAS SEND DOWN HERE
112,cv-valid-dev/sample-000112.mp3,I HEARD A PECULIAR HUMMING SOUND FROM THE PIT,I HEARD A PECULIAR HUMMING SOUND FROM THE PIT
113,cv-valid-dev/sample-000113.mp3,HE HAD COME TO THE TOWN ONLY TO FIND A WOMAN WHO COULD INTERPRET HIS DREAM,HE HAD COME TO A TOWN ONLY TO FIND A WOMAN WHO COULD INTERPRET HIS DREAM
114,cv-valid-dev/sample-000114.mp3,WHY THE SHOTS STOPPED AFTER THE TENTH NO ONE ON EARTH HAS TRIED TO EXPLAIN,WHY THE SHOTS STOPPED AFTER THE TENTH NO ONE ON EARTH HAS TRIED TO EXPLAIN
115,cv-valid-dev/sample-000115.mp3,FOR SOME REASON WE WERE BLOCKED FROM ENTERING,FOR SOME REASON WE WERE BLOCKED FROM ENTERING
116,cv-valid-dev/sample-000116.mp3,THE SWIMMING POOL WAS FULL OF CHLORINE,THE SWEMMING POOL WAS FULL OF CHORINE
117,cv-valid-dev/sample-000117.mp3,BUT YOU ARE IN THE DESERT,BUT YOU ARE IN THE DESERT
118,cv-valid-dev/sample-000118.mp3,HE WAS MORE CONFIDENT IN HIMSELF THOUGH AND FELT AS THOUGH HE COULD CONQUER THE WORLD,HE WARE MORE CONFIDENT IN HIMSELF THOUGH AND FELT AS THOUGH HE COULD CONQUER THE WORLD
119,cv-valid-dev/sample-000119.mp3,SHE REFILLED HER VESSEL AND LEFT,CHERE FILLED HER VASSEL AND LAUGHED
120,cv-valid-dev/sample-000120.mp3,I NOTICED THAT THE BOY ANSWERED,I NOTICED THAT THE BOY ANSWERED
121,cv-valid-dev/sample-000121.mp3,THROUGHOUT THE ENTIRE DAY WE WILL BE ON THE LOOKOUT FOR OUR ENEMIES,THHROUGHOUR THE ENTIRE DAY WE WILL BE YOND THE LOOKOUT FOR OUR ENEMIES
122,cv-valid-dev/sample-000122.mp3,AT OTHER TIMES AT A CRUCIAL MOMENT I MAKE IT EASIER FOR THINGS TO HAPPEN,AT OTHER TIMES AT A CRUSING MOMENT YOU MAKE IT EASIER FOR THINGS TO HAPPEN
123,cv-valid-dev/sample-000123.mp3,ALL THE JOY HE HAD SEEN THAT MORNING HAD SUDDENLY DISAPPEARED,ALL THE JOY HE HAD SEEN THAT MORNING HAD SUDDENLY DISAPPEARED
124,cv-valid-dev/sample-000124.mp3,YOU CAN'T DESERT NOW,YOU CAN'T DESERT NOW
125,cv-valid-dev/sample-000125.mp3,I HAVE NO INFORMATION ABOUT TROOPS OR ABOUT THE MOVEMENT OF THE TRIBES,I HAVE NO INFORMATION ABOUT TROOPS OR ABOUT THE MOVEMENT OF THE TRIBES
126,cv-valid-dev/sample-000126.mp3,YOU HAVE BEEN STOPPING ME,YOU HAVE BEEN STOPPING ME
127,cv-valid-dev/sample-000127.mp3,THERE WERE RAISED VOICESAND SOME SORT OF STRUGGLE APPEARED TO BE GOING ON,THERE WERE RAICED VOICES AND SOME SORT OF STRUGGLE APPEARED TO BE GOING ON
128,cv-valid-dev/sample-000128.mp3,I GOT DRUNK YESTERDAY AND THOUGHT I BUILT A SUPER COMPUTER,I GOT DRUNK YESTERDAY AND THOUGHT I BUILT A SUPERCOMPETER
129,cv-valid-dev/sample-000129.mp3,HE WAS IMMENSELY EXCITED AT THE NEWS,HE WAS IMMENSELY EXCITED AT THE NEWS
130,cv-valid-dev/sample-000130.mp3,USING SCRIPT BLOCKERS IS GENERALLY A GOOD IDEA BUT IT REQUIRES THE USER TO LEARN A BIT,USING STRIPPED LOCKERS IS GENERALLY A GOOD IDEA BUT IT REQUIRES THE USER TO LEARN A BIT
131,cv-valid-dev/sample-000131.mp3,SO WHEN I LOOK OUT OVER YOUR SANDS I AM ALSO LOOKING AT HER,SO WHEN I LOOK OUT OVER YOUR SENSE I AM ALSO LOOKING AT HER
132,cv-valid-dev/sample-000132.mp3,HE'S HOME COOKING DINNER,HI'S HOME COOKING DINNER
133,cv-valid-dev/sample-000133.mp3,LET'S HAVE A LOOK AT THE STANDARD DEVIATION,LET'S HAVE A LOOK AT THE STERNARD DEVIATION
134,cv-valid-dev/sample-000134.mp3,NOW THAT'S TOO MUCH,NOW THAT'S TOO MUCH
135,cv-valid-dev/sample-000135.mp3,HE JUST GOT A NEW KITE FOR HIS BIRTHDAY,HE JUST GOT A NEW KITE FOR HIS BIRTHDAY
136,cv-valid-dev/sample-000136.mp3,THE CEILING COLLAPSED INWARDS,THE CEILING COLLAPSED INWARDS
137,cv-valid-dev/sample-000137.mp3,FOR EXAMPLE I CAN SAY SCORE TEST WORD TO PRINT TEST WORD OR CAMEL TEST WORD TO PRINT TESTWORD,FOR EXAMPLE I CAN SAY SCORE TEST WORD TO PRINT TEST WORD OR CAMEL TEST WORD TO PRINTTEST WORD
138,cv-valid-dev/sample-000138.mp3,I'M A WOMAN OF THE DESERT SHE SAID AVERTING HER FACE,IAM A WOMAN OF THE DESERT SHE SAID AFFERTING HER FACE
139,cv-valid-dev/sample-000139.mp3,WE WANT TO SELL HANDMADE CHUKKA BOOTS IN THAT FOOD TRUCK,WE WANT TO SILL HANMAID CHOUKA BOOTS IN THAT FOOD TROOK
140,cv-valid-dev/sample-000140.mp3,HE'S TALKING LIKE A CHILD,HE'S TALKING LIKE A CHILD
141,cv-valid-dev/sample-000141.mp3,THE QUICKER THE BETTER,THE QUICKER THE BETTER
142,cv-valid-dev/sample-000142.mp3,AND YOU MARRIED HER,THEN YOU MARRIED HER
143,cv-valid-dev/sample-000143.mp3,FEW PEOPLE REALISE THE IMMENSITY OF VACANCY,FEW PEOPLE REALIZE THE IMMENCITY OF FACANCY
144,cv-valid-dev/sample-000144.mp3,THE ENGLISHMAN'S EYES LIT UP,THE ENGLISH MAN'S EYES LIT UP
145,cv-valid-dev/sample-000145.mp3,FEW PEOPLE REALISE THE IMMENSITY OF VACANCY,FEW PEOPLE REALIZE THE IMMENSITY OF VACANCY
146,cv-valid-dev/sample-000146.mp3,WHEN THE SUN SETS THE MEN WILL ONCE AGAIN SURRENDER THEIR ARMS TO ME,WHEN THE SUNSETS THE MEN WILL ONCE AGAIN SURRENDER THE ARMS TO ME
147,cv-valid-dev/sample-000147.mp3,ITS LOWER END WAS STILL EMBEDDED,AT LOWER END WAS STILL INBEDDED
148,cv-valid-dev/sample-000148.mp3,BEFORE GUNS WERE INVENTED ARMIES HAD TO THROW BULLETS AT EACH OTHER AND IF A BULLET TOUCHED YOU YOU HAD TO SIT OUT UNTIL THE NEXT WAR,BEFOUR GUNS WERE INVENTED ARMIES HAD SHROWD BULLETS AT EACH OTHER AND IF A BULLET TOUCHED YOU YOUHAD TO SET OUT UNTIL THE NEXT WAR
149,cv-valid-dev/sample-000149.mp3,NOW LEAVE US ALONE SAID THE BOY TO THE YOUNG ARAB,NOW LEAVE US ALONE SAID THE BOY TO THE YOUNG ARAB
150,cv-valid-dev/sample-000150.mp3,ON THE FIRST DAY HE RETURNED WITH A RABBIT AND ON THE SECOND WITH TWO BIRDS,ON THE FIRST DAY RETURNED WITH A ROBBIT AND ON THE SECOND TO A
151,cv-valid-dev/sample-000151.mp3,AS SOON AS HE SAW ME AMONG THE CROWD HE CALLED TO ME TO COME DOWN,AS SOON AS HE SAW ME AMONG THE CROWD HE CALLED TO ME TO COME DOWN
152,cv-valid-dev/sample-000152.mp3,I'M NOT HIDING ANYTHING THE BOY ANSWERED,I'M NOT HIDING ANYTHING THE BOY ANSWERED
153,cv-valid-dev/sample-000153.mp3,A LARGE PORTION OF THE CYLINDER HAD BEEN UNCOVERED,A LARGE PORTION OF THE CYLINDER HAD BEEN UNCOVERED
154,cv-valid-dev/sample-000154.mp3,I'M HUNTING WITH MY FALCON THE ALCHEMIST ANSWERED,I AM HUNTING WITH MARFOLICIN THE ELCHEMUS ANSWERED
155,cv-valid-dev/sample-000155.mp3,IT'S NOT WHAT ENTERS MEN'S MOUTHS THAT'S EVIL SAID THE ALCHEMIST,IT'S NOT WHAT ENTERS MAN'S MOUTH THAT'S EVIL SAID THE ALCHYMIST
156,cv-valid-dev/sample-000156.mp3,AN ARMY IS COMING THE BOY SAID,AN ARMY IS COMING THE BOY SAID
157,cv-valid-dev/sample-000157.mp3,SO YOU KNOW ABOUT LOVE THE BOY SAID,SO YOU KNOW ABOUT LUV THE BOY SAID
158,cv-valid-dev/sample-000158.mp3,THERE ARE RUMORS OF TRIBAL WARS HE TOLD THEM,THERE ARE RUMOURS OF TE OLD WARS HE TOLD THEM
