file_id,generated_text
39,YOU MUST BE DISGUESED TO AVOID IN CONTOS WIK HAVES
40,OGOVY WATCHED TILL ONE AND THEN GAVE UP
41,I DON'T KNOW WHERE TO GO
42,HIS SPEECH ENDED IN STANDING OBATION
43,IN A WAY SO AM I HE SAID
44,WHEN THE SUN SETS THE MAN WILL ONCE AGAIN SURRENDERED THE ARMS TO ME
45,I WAS SCARED BUT WASTED NO TIME IN GOING OUT AND CROSSING THE BRIDGE TO THE SANDPILT
46,WE MUST BE GOOD
47,HE ALMOST BEGAN TO TELL ABOUT HIS TREASURE BUT DECIDED NOT TO DO SO
48,NOT EVEN TO TRIBAL CHIEFTAINS ARE ABLE TO SEE HIM WHEN THEY WANT TO
49,WHY DIDN'T YOU TELL ME
50,THEY COULD BARELY SEE THE BOY
51,OUR GENERATOR HAS BEEN DISRUPTED BY ULTRA HIGH FREQUENCY WAVES
52,HE NEEDED SOME ONE TO TALK TO SO AS TO AVOID THINKING ABOUT THE POSSIBILITY OF WAR
53,ALMOST EVERY ONE HERE SPEAK SPANISH
54,THE REPORT WAS LARGELY STATHING
55,NO ONE ATTACKS AN OASIS
56,WHERE'S THE OLD GOAT
57,BEFORE GUNS WERE INVENTED ARMIES HAD TO THROW BULLETS AT EACH OTHER AND HOW BULL ET TOUCHED YOU YOU HAD TO SIT OUT UNTIL THE NEXT WAR
58,IT WAS THE TIME OF DAY WHEN ALL OF SPAIN SLEPT DURING THE SUMMER
59,THERE WERE MOUNTAINS IN THE DISTANCE
60,EXCUSE YOU FOR WHAT
61,YESTERDAY I WAITED FOREVER FOR THE SUBWAY TRAIN
62,I'LL GO RIGHT AFTER IT
63,JUST NINE YO SELVES AT HOME
64,AND YOU TOLD ME ABOUT ALMENS
65,WHERE WAS HIS HORSE
66,IT WAS GLARINGLY HOT NOR A CLOUD IN THE SKY NOR A BREATH OF WIND
67,COMPILING THE LINNOX COLONEL COULD BE TIME CONSUMING
68,IF THAT GUY LAYS AN EGG
69,THE BRASS LAMB HAD BEEN DESTIRLED
70,SADLY MY DREAM OF BECOMING A SQUIRREL WHISPERER MAY NEVER HAPPEN
71,WHO DO YOU THINK RIGHTE SAM
72,AWILKEY OF YUDOKEY ABOUT IT
73,THE ACHIEVED RESULTS OR FAR BEHIND THE STATE OF THE ART AN IMAGE GLOSSIFICATION
74,I'LL BE BACK IN A MINUTE
75,JUDGE DEBORAS AND ME
76,A LARGE PIECE SUDDENLY CAME OFF AND FELL WITH A LOUD AND SHARP NOISE
77,IT LEFT A GRINNY STREAK THAT GLOWED FOR SOME SENTENCE
78,THE HOMELESS SEEMED TO LIKE SOUP
79,AND FINALLY THE FOCAN RETURNED WITH THEIR MEAL
80,TWO MORE MONTHS PASSED AND THE SHOUT BROUGHT MANY CUSTOMERS INTO THE CRYSTAL SHOP
81,HE DECONTED THE WINE AND BEGAN TO RECOUNT A DISTURBING STORY HE HAD BEEN TOLD
82,AT LEAST SHE KNOWS HOW TO BEHAVE AT FUNERALS
83,LOOK AT THE POLICY I GAVE HIM
84,THEN I DON'T GET FATE
85,I GOT TO GIANT BUGBITES ON MY RIGHT LEG FROM LAST NIGHT AND HI HURT
86,BUT THEY REALLY DON'T KNOW WHAT THEY'RE SAYING
87,AND ALSO BY UNHAPPINESS ENVY AND JEALOUSY
88,SOME OF THE GRAY ASH WAS FALLING OFF THE CIRCULAR EDGE
89,THE STRANGER SEEMED SATISFIED IT THE ANSWER
90,I DON'T CARE WHAT YOU CHARGE THEM WITH
91,WHAT A BOSS OLD LAD
92,IT WAS THE FIRST TIME SHE HAD DONE THAT
93,IT WAS FAINTLY MARKED WITH TRANSVERSED STRIPES AND SLIGHTLY FLATTENED FROM THE PERFECT GROUND
94,WE CAN'T LET THE CHRONICLE GET THE LAUGH ON US
95,YOU ARE FAR TOO BADABLE
96,THEY EAT LUNCH TOGETHER OFTEN BUT DON'T REALLY TALK OUTSIDE THE OFFICE
97,A HALF OF HELOT
98,HUNCHES HIS MOTHER USED TO CALL THEM
99,IT IS RECOMMENDED TO DRINK AT LEAST TWO LEADERS OF WATER A DAY
100,BY VICES OF PEASE TE THEY ARE TETECT
101,THOMAS WENT TO WAR
102,THEY WERE IN AN IMMENSE SETTING SURROUNDED BY THOUSANDS OF PEOPLE SPEAKING A STRANGE LANGUAGE
103,TANGIER IS NOT LIKE THE REST OF AFRICA
104,I'LL HANG IT OP
105,THERE IS A WAY OUT
106,I'M GOING WITH YOU THE BOY SAID
107,WHO IS YOUR FRIEND THE CHIEF ASKED
108,I'LL TELL YOU IN A MINUTE
109,I THINK THAT PERCEIVE THAT NOTHING WAS TO BE DONE AT THE MOMENT
110,IN SOME PLACES THE GROUND WAS COVERED WITH A SALT OF DRIED UP LAKES
111,THAT'S WHY I WAS SEND DOWN HERE
112,I HEARD A PECULIAR HUMMING SOUND FROM THE PIT
113,HE HAD COME TO A TOWN ONLY TO FIND A WOMAN WHO COULD INTERPRET HIS DREAM
114,WHY THE SHOT STOPPED AFTER THE TENTH NO ONE ON EARTH HAS TRIED TO EXPLAIN
115,FOR SOME REASON WE WERE BLOCKED FROM ENTERING
116,THE THWEAMING POOL WAS FULL OF CARINE
117,BUT YOU ARE IN THE DESERT
118,HE WAR MORE CONFIDENT IN HIMSELF THOUGH AND FELT AS THOUGH HE COULD CONQUER THE WORLD
119,CHERA FILLED HER VASSEL AND LAUGHED
120,I NOTICED THAT THE BOY ANSWERED
121,THROUGH OUR THE ANTIRAE DAY WE WILL BE YOND THE LOOKOUT FOR LLOUR ENEMIES
122,AT OTHER TIMES AT A CROSINMOMENT YOU MAKE IT EASIER FOR THINGS TO HAPPEN
123,ALL THE JOY HE HAD SEEN THAT MORNING HAD SUDDENLY DISAPPEARED
124,YOU CAN'T DESERT NOW
125,I HAVE NO INFORMATION ABOUT TROOPS OR ABOUD THE MOVEMENT OF THE TRIBES
126,YOU HAVE BEEN STOPPING ME
127,THERE WERE RACED VOICES AND SOME SORT OF STRUGGLE APPEARED TO BE GOING ON
128,I GOT DRUNK YESTERDAY AND THOUGHT I BUILT A SUPERCOMPETR
129,HE WAS IMMENSELY EXCITED AT THE NEWS
130,USING STRIPP LOCKERS IS GENERALLY A GOOD IDEA BUT IT REQUIRES THE USER TO LEARN A BIT
131,SO WHEN I LOOK OUT OVER YOUR SENSE I AM ALSO LOOKING AT HER
132,HI'S HOME COOKING DINNER
133,LET'S HAVE A LOOK AT THE STERNARD DEVIATION
134,NOW THAT'S TOO MUCH
135,HE JUST GOT A NEW KITE FOR HIS BIRTHDAY
136,THE CEILING COLLAPSED INWARDS
137,FOR EXAMPLE I CAN SAY SCORE TEST WORD TO PRINT TEST WORD OR CAMEL TEST WORD TO PRINT TEST WORD
138,I AM A WOMAN OF THE DESERT SHE SAID AFFURETING HER FACE
139,WE WANT TO SILL HANDMAID CHOUKA BOOTS IN THAT FOOD TROOK
140,HE IS TALKING LIKE A CHILD
141,THE QUICKER THE BETTER
142,HAN YOU MARRIED HER
143,FEW PEOPLE REALIZE THE IMMENSITY OF VACANCY
144,THE ENGLISH MAN'S EYES LIT UP
145,FEW PEOPLE REALIZE THE IMMENSITY OF VACANCY
146,WHEN THE SUN SETS THE MEN WILL ONCE AGAIN SURRENDER THE ARMS TO ME
147,AT LOWER END WAS STILL INBEDDED
148,BEFOURE GUNS WERE INVENTED ARMIES AND THROAD BULLETS AT EACH OTHER AND IF A BULLET TOUCHED YOU YED SET OUT UNTIL THE NEXT WAR
149,NOW LEAVE US ALONE SAID THE BOY TO THE YOUNG ARAB
150,ON THE FIRST DAY RETURNED WITH A ROBBIT AND ON THE SICOND TO
151,AS SOON AS HE SAW ME AMONG THE CROWD HE CALLED TO ME TO COME DOWN
152,I'M NOT HIDING ANYTHING THE BOY ANSWERED
153,A LARGE PORTION OF THE CYLINDER HAD BEEN UNCOVERED
154,I AM HUNTING WITH MARFOLICIN THE ELCHEMUS ANSWERED
155,IT'S NOT WHAT ENTERS MAN'S MOUTH THAT'S EVIL SAID THE ALCHYMIST
156,AN ARMY IS COMING THE BOY SAID
157,SO YOU KNOW ABOUT LOVE THE BOY SAID
158,THERE ARE RUMOURS OF TU OR WORS HE TOLD THEM
159,THE FIRST RULE OF DON'T FIGHT CLUB IS LET'S TALK ABOUT IT
160,THE STEEL OF ITS BLADE GLITTERED IN THE LIGHT OF THE MOON
161,THE MAN LOOKED THE ANGEL IN SURPRISE
162,HE ONLY LOST THREE BUTTONS OFF HIS VEST
163,I THINK WE CAN DO BETTER AFTER THE BOAT SAILS
164,THE ENGLISHMAN DIDN'T ANSWER HIM DIRECTLY
165,HE FELT WEIGHTED DOWN BY THE SENTRIES OF TIME SINCE THE PYRAMIDS HAD BEEN BUILT
166,FADIMAN THE GIRL TAKE AVOINING HER EYES
167,THE BOY WAS RELIEVED
168,IN ANY CASE IT'S GOOD THAT YOU 'VE LEARNED THAT EVERYTHING IN LIFE HAS ITS PRICE
169,YORT YOKEVIT
170,NOW LET'S SEE WHAT YOU LOOK LIKE WHEN YOU PROTEST
171,FEW PEOPLE REALIZE THE IMMENSITY OF VACANCY
172,ON THE VERY FIRST PAGE IT DESCRIBED A BURIAL CEREMONY
173,YOURE WIDE WHEN YOU SAY MY FATHER WAS NO BUSINESS MAN
174,THE WOMAN SAID SHE HAD NEVER HAD OF SUCH APOSTLE AN HIRE DAI
175,WHAT BOAT ARE YOU SAILING ON
176,HE MOVED ABOUT INVISIBLE BUT EVERYONE COULD HEAR HIM
177,WHAT'S THE MATTER WITH ELINOR
178,IT MUST HAVE FALLEN WHILE I WAS SITTING OVER THERE
179,WORK HARD JUST TO HAVE FOOD IN WATER LIKE THE
180,WHAT A LIGHT OF TRESH SARA A PINED
181,REST WELL TO NIGHT AS IF YOU WERE A WARRIOR PREPARING FOR COMBAT
182,THE TEE AGORS PUT ON RED HOODIES FOR THEIR ANNUAL TOBARGAINRAM
183,LEARN TO RECOGNIZE OMENS AND FOLLOW THEM THE OLD KING HAD SAID
184,BERLIN CAN BE SO LOVELY THIS TIME OF YEAR
185,LAURA TOOK OUT A CIGARETTE AND PLACED IT IN HIM
186,THEY WERE FASCINATING STORIES EACH OF THEM LEAVE OUT HIS DESTINY TO THE END
187,THE VISION VANISHED IMMEDIATELY BUT IT HAD SHAKEN HIM
188,ONE CAN IMAGINE THESE TWO COVERED WITH SAND RUNNING UP THE LITTLE STREET IN THE BRIGHT SUMMIT
189,CRUGES DON'T PAY TEXAS
190,THE OMENS TOLD HIM SO
191,BUT THE BOY KNEW THAT HE WAS REFERRING TO PADAMAR
192,THE ARAB ACCEPTED THEM WITHOUT A WORD
193,BUT THAT WAS SIMPLY BECAUSE MY EYE WAS TIRED
194,WELCOME TO DAVES GITAR SESSION
195,IS THAT JOB STILL OPEN
196,WHEN HE WAS A CHILD THAT MAN WANTED TO TRAVEL TO
197,HE BELIEVED IN ALMONS
198,ON TOP OF ALL THAT THE WEEDS KEEP ROWING AND THE LABBIT HAS TO BE TAKEN OUT
199,BOUGHT A LOVELY CHAP
200,AT THAT TIME IT WAS QUITE CLEAR IN MY OWN MIND THAT THE THING HAD COME FROM THE PLANET MARS
201,THAT'S NOT SO BAD
202,HOW STRANGE AFRICA IS THOUGHT THE BOY
203,HE HAD SEEN THE SHOOTING STAR AND WAS PERSUADED THAT A METEO RIT LAY SOMEWHERE NEAR BY
204,FOR EVERY TEN DAT MEN AMONG OUR ENEMIES YOU WILL RECIVE A PIECE OF GOLD
205,AND EVENTUALLY MAN WOLL NOURISH OUR SANDS WHERE DE GAME WOLL WANT AGAN FLOURISH
206,THE OLCHYMISTS SPENT YEARS IN THEIR LABORATORIES OBSERVING THE FIRE THAT PURIFIED THE METALS
207,WE ARE JUST SLOWLY PLODDING THROUGH SOME USER INTERVIEWS AT THE MOMENT
208,ANY DECENT EDITOR CAN SHOW YOU Y NUMBERS AND LET YOU JUMP TO SPECIFIC WI
209,I'M GOING INTO THE DESERT THE MAN ANSWERED TURNING BACK TO HIS READING
210,IT WAS SUCH A GRADUAL MOVEMENT THAT HE FOUND IT ONLY BY NOTICING THE DOGS
211,THE ENGLISHMAN WAS UNABLE TO SLEEP ONE NIGHT
212,MAYBE TO MORROW SAID THE BOY MOVING AWAY
213,I WANT MY GARDEN TO BE FILLED WITH ROSES PETUNIAS AND PASSION FLOWERS
214,I TI IMIT
215,MISTER AND MISSUS NATE JOINED THE RED CROSS AND SEWED
216,THROUGHOUT THE ENDIRE DAY WE'LL BE ON THE LOOK OUT FOR OUR ENEMIES
217,JUST AS YOUR GRANDFATHER TAUGHT YOU
218,THE MODO HAS EFFECTIVELY THREE FULLY CONNECTED LAES
219,HE SAW THAT FATINA'S EYES WERE FILLED WITH TEARS
220,TWO DAYS LATER THE MERCHANT SPOKE TO THE BOY ABOUT THE DISPLAY
221,THE NIGHT WAS WARM AND I WAS THIRSTY
222,AS HE DID SO HE TALKED WITH THE MONK ABOUT THE TRIBAL WARS
223,AS HE LOOKED AT THE STONES HE FELT RELIEVED FOR SOME REASON
224,IT WAS VERY HARF A HEARTO POPUT'S
225,DURING THE THIRD YEAR THE OMENS WILL CONTINUE TO SPEAK OF YOUR TREASURE AND YOUR DESTINY
226,THE WIND HAS MANY NAMES
227,I PROMISED THAT I WOULD MAKE MY OWN DECISIONS HE SAID TO HIMSELF
228,THAT'S WHY I'M HERE IN THE MIDDLE OF HOT DESERT
229,MIGHT JUST AS WELL BE
230,THE SHOP WAS CLOSED ON MONDAY
231,HE FELT UNEASY AT THE MAN'S PRESENCE
232,LET'S HAVE YOUR STORY
233,IT WAS A BANDER OF MONEY
234,ON THE FIRST DAY HE RETURNED WITH A RABBIT AND ON THE SECOND WITH TWO BIRDS
235,THE BOY WAS RELIEVED
236,IF YOU STILL DON'T KNOW WHAT RECURSION IS READ THIS SENTENCE AGAIN
237,THE THIEF WASN'T THERE THE OWNER BROUGHT HIM A CUP OF TEA
238,THEY ARE SO USED TO ME THAT THEY KNOW MY SCHEDUL HE MUTTERED
239,THE MONG WAS IRRITATED
240,A SEPARATE MAY LIKE TO TRAVELER ACISEN NEVER FORGET ABOUT HIS SLEEP
241,IT'S PRACTICALLY UP THERE NOW
242,AS I WATCHED THE PLANET SEEMED TO GROW LARGER AND SMALLER
243,CAME TO THE BAR HE HAD ENTERED ON HIS FIRST DAY THERE
244,THE BOY TRIED TO READ WHAT WAS WRITTEN IN THE SAND
245,I READ ONLY WHAT THE BIRT WANTED TO TELL ME
246,HE STUCK HIS HAND INTO THE POUCH AND FELT AROUND FOR ONE OF THE STONES
247,IT SPREAD THROUGH THE PLANET'S ATMOSPHERE AND OBSCURED ITS MORE FAMILIAR FEATURES
248,AN IMPORTANT DIFFERENCE IS THE AMOUNT OF EXPERIENCES THAT IS TO SAY IMPORTS
249,YOU HAVE AMMANIA FOR SIMPLIFYING EVERYTHING ANSWERED THE ENGLISHMAN IRRITATED
250,WHERE SHE USED TO LIVE
251,AT ONCE HE CONNECTED THE TWO INCIDENTS
252,WHEN HE WAS A CHILD THAT MAN WANTED TO TRAVEL TOO
253,HEU DID FIND IT SOON AFTER DONE AND NOT FAR FROM THE SAN BITS
254,I HAVE ALREADY FOUND MY TREASURE
255,THE BOY WAS BECOMING NERVOUS
256,WHO IS YOUR FRIEND THE CHIEF ASKED
257,THE ONLY SHADOW WAS THAT OF THE FEW SCATTERED PINE TRE
258,BEFORE A GLASCE WHERE  INVAINTED ARMIS HAD TO CHILDREN LOOSE AT HIS SHOULDER AND E A WOONED PUSHD YOU WHOLL HAVE TO STICK OUT UNDER ANY STRAW
259,MY SEVEN YEAR RESUMAY GAP IS MARKED NOT DRUGS
260,THEY PLAYED YUETS TOGETHER
261,HE DIDN'T KNOW THE MAN YET BUT HIS PRACTICED EYE WOULD RECOGNIZE HIM WHEN HE APPEARED
262,I'LL BE RIGHT BACK
263,SHE NEEDS TO GET HER TRANSCRIPTS AND PASSPORT FIRST
264,WE'LL HAVE SOMETHING TO DRINK AND EAT THESE HAWKS
265,THE ORANGE FRUIT IS NOT YET RIPENED
266,I MYSELF HEARD NOTHING OF THAT
267,YOU CAN'T GO ANY FARTHER ONE OF THEM SAID
268,HIER'S TWO PERSONAL TRAINERS AND MAKE ONE OF THEM TRAIN OTHER
269,THE OLD MEN WORE A BREASTBLADE OF GOLD AND HE KNEW ABOUT MY POST
270,IN AS A TRICK THE BOY THOUGHT
271,THE FIRST BASEMAN DROPPED THE BALL
272,HE PAUSED FOR A MOMENT TO SEE IF THE WOMAN KNEW WHAT THE EGYPTIAN RAMID WORK
273,THE BOY NOTICED THAT THE OWNER OF THE BAR STOOD NEAR BY LISTENING ATTENTIVELY TO THEIR CONVERSATION
274,IS IT FOR FURTHER AUTOMATIC PROCESSING
275,ONCE DID THE THIEF AND ONCE TO THE GENERAL
276,COME THEN ON AND THE BOY UNDERSTOD HIS HEART
277,OF COURSE HE'S COMING BACK HERE
278,THEY ARE JUST A PILE OF STONES
279,I READ ONLY WHAT THE BIRDS WANTED TO TELL ME
280,THEN WHO ARE YOU
281,THE NIGHT WAS WARM AND I WAS THIRSTY
282,THERE WERE THREE HUNDRED WELLS FIFTY THOUSAND APE TREES AN INNUMERABLE GOLLERD TENT PRED I MONCA
283,ALBET YOU DON'T REALLY NEED THOSE
284,THE PEAK OF THIS MOUNTAIN IS OVER TWO THOUSAND METERS ABOVE SEA LEVEL
285,THE BOY WAS THE EXCHANGE WITH FASCINATION
286,IT REQUIRED NO EXPLANATION AND JUST AS THE DUNIGUS NEEDS NONE AS IT TRAVELS THROUGH ENDLESS TIME
287,I WON'T SAY ANYTHING
288,MY O MISS APFLE
289,HE DIDN'T WANT TO CRY WITH THE OTHER PEOPLE THERE
290,LISTEN TO YOUR HANT
291,I'M DYING FOR WHAT I BELIEVE
292,THE TEA SEEMED LESS BITTER
293,OUR CLOTHES ARE DRY
294,THAT'S THE PRINCIPLE THAT GOVERNS ALL THINGS HE SAID
295,THE INVADERS CARRIED THE LAME EVERYWHERE THE BEAUTIFUL GIRL SPOKE OF THE INVADERS WITH PRIDE
296,THEY WERE RELIEVED AND HAPPY
297,A PART OF ME IS ALSO TRYING TO COME TO TERMS WITH THE FACT THAT I WON'T BE ABLE TO TRAVEL AS MUCH ANY MORE
298,WHAT DID I TELL YOU
299,SADLY MY DREAM OF BECOMING A SQUIRREL WHISPERER MAY NEVER HAPPEN
300,HE TRIED AGAIN TO CONCENTRATE ON THE PINK SHADES OF THE DESERT AND ITS STONES
301,A MONK DRESSED IN BLACK CAME TO THE GATES
302,THEN THE THING CAME UPON HIM IN A FLASH
303,THE BOY NOTICED THAT THE MAN'S CLOTHING WAS STRANGE
304,SCATTERED GROUPS OF PEOPLE WERE HURRYING FROM THE DIRECTION OF WOKING
305,THE HALL OF THE SHIP COLLOPSED
306,SOMEBODY HAD RETURNED MY LOST CRITIC CARD TO THE BANK
307,ALL YOU'VE GOT TO DO IS TALK TO HIM
308,THE ANGLISH MAN DIDN'T ANSWER INDIRECTLY
309,I CAN CLEAN UP THOSE GLASSES IN THE WINDOW IF YOU WANT SAID THE BOY
310,AT THE FIRST GLANCE IT WAS REALLY NOT VERY ANXITING
311,WHAT'S THIS THE END OF THE EIGHT
312,AND THERE WERE EWNES ROCS AND PLANS THAT INSISTED ON LIVING WHERE A SURVIVAL SOONED BE POSSIBLE
313,BECAUSE YOU WILL KNOW ITS DREAMS AND WISHES AND WILL KNOW HOW TO DEAL WITH THEM
314,I HAVE DISABLED SOME OF THE CERTIFICATE OF AUTHORITIES BUT THEY ARE NOT DRAGET OUT IN THIS LIST
315,THE STREAMER OF GAS CAME OUT TOWARDS US
316,YOU TOLD ME THAT
317,I'M GOING TO MISS ANNIE
318,HE PUT HIS HEAD CLOTH IN PLACE AND SECURED IT WITH A RING MATE OF COMELLSKIN
319,AND YOUR CAMELS WILL BRING YOU WEALTH AND POWER
320,WE ARE HAVING HADBRUG US
321,AT MICE THEY THOUGHT THAT ANOTHER MATEORAT HAD DESCENDED
322,SO HOW WILL WE NAME ALL THESE HERRICANES
323,THE SEA HAS LIVED ON IN THE SHELL BECAUSE THAT ITS DESTINY
324,MOIST SOIL IS GOOD FOR THE FLOOR
325,I UNDERSTAND THAT IT IS YOUR DEBTA SAID AND THAT IT IS NER
326,NOBODY'S GOING TO RUSH ME INTO ANYTHING
327,I WAS SCARED BUT WASTED NO TIME IN GOING OUT AND CROSSING THE BRIDGE TO THE SAND PITS
328,SINCE THE MINER HAD SACRIFICED EVERYTHING TO HIS DESTINY THE OLD MAN DECIDED TO BECOME INVOLVED
329,JUST WHAT IS A LOW DOWN ON WILLIAMS
330,IT'S NOT WHAT ENTERS MEN'S MOUTH DETS EVIL SAID THE ALCHYMIST
331,THE GREATEST AUTHORITY IN METRA WRITES STATED THAT THE HEIGHT OF ITS FIRST APPEARANCE WAS ABOUT NINETY OR ONE HUNDRED MILES
332,WHAT DO YOU KNOW ABOUT THAT
333,WON DERT THAT GET US
334,THE NIGHT WAS WRONG AND I WAS CLOSELY
335,LOVE REQUIRED THEM TO STAY WITH THE PEOPLE THEY LOVED
336,ONE NIGHT THE FATHER HAD A DREAM
337,IT DIDN'T CHANGE ANYTHING
338,I'M NOT GOOD ENOUGH TO MAKE THIS ONE UP
339,HIS DOING IT BECAUSE IT'S WHAT HE WANTS TO DO
340,LET ME COM YOUR HAIR
341,SOMETIMES SES JAST NORWAY TO HOLD BAKS A RIMO
342,THERE 'LL BE NO RET UPRISING
343,HER HEIGHT HELPED HER WITH HER FIGHTING
344,BUT FINALLY THE MERCHANT APPEARED AND ASKED THE BOY TO SHEER FOR SHEEP
345,IT SEEMED SO SAFE AND TRANQUIL
346,THEN SUDDENLY THE KNIIL AND DIE
347,GOATS ALWAYS HAVE A BETTER VIEW
348,THEY'RE NOT CONCERNED WITH THAT RIGHT NOW
349,WHAT DO YOU THINK OF THAT
350,I WOULD HAVE WON THE JUNIOR OLYMPIX IF NOT FOR THOSE MEDDLING KIDS
351,THE TURF AND GRAVEL AROUND IT SEEMED CHARRED AS IF BY A SUDDEN EXPLOSION
352,HOW LONG IS IT
353,BUT MY HEART HAS AGITATED THE VOICE T
354,I NEED YOU TO BE SPONTANEOUS HE ASKED ME OUT TO DINDIN
355,IT WAS DROPPING OFF IN FLAKES AND RAINING DOWN ON THE SAND
356,WHERE YOU GOT HIN
357,THEN I DON'T GET PAID
358,WE DON'T KNOW WHEN THE WAR WILL END SO WE CAN'T CONTINUE OUR JOURNEY HE SAID
359,HIS NEW FRIEND PUSHED THE OWNERSIDE AND PULLED THE BOY OUTSIDE WIPHIM
360,WHERE IT THE OLD GOLD
361,THE BOY STEPPED CLOSER TO THE GIRL AND WHEN SHE SMILED HE DID THE SAME
362,MY NAME IS MELCHESEREK SAID THE OLD MAN
363,THEN YOU TAUGHT ME SOMETHING OF THE UNIVERSAL LANGUAGE AND THE SOUL OF THE WORLD
364,THEN SUPPOSE YOU GIVE ME THE MONEY
365,SHE TEDED UN THE SHALF AND DED DATE
366,SHE LIKES YOU WELL ENOUGH TO STICK AROU
367,THE BOY WAS STRONG AND WANTED TO RETALIATE BUT HE WAS IN A FOREIGN COUNTRY
368,SO YOU KNOW ABOUT LOVE THE BOY SAID
369,I HARD APECULAR HUMMY FON FROM THE PIT
370,IF HE ABANDONS THAT PURSUIT IT'S BECAUSE IT WASN'T TRUE LOVE
371,EVERYONE SEEMED VERY EXCITED
372,THE OASIST IS NEUTRAL GROUND
373,ASK YOU NOW OUT THAT STALL HOW MUCH IS WHAT GOES HE SAID TO HIS FRIEND
374,NOW LEAVE US ALONE SAID THE BOY TO THE YOUNG ARAB
375,IT CALLED THE PRINCIPLE OF FAVORABILITY BEGINNERS LUCK
376,DO YOU WANT TO PIKER UP THIS ADMINISTRATION
377,I AM JUST A MAN WHO WONDERS THE DESERT AND KNOWS THE STARS SAID THE OLCHYMIST
378,I DON'T FIND THE WORKING FROM HOME MOST OF TE TIME BUT I DO MISSAVING CO WORKERS
379,HE DRESSED IN HIS ARABIAN CLOTHING OF FITE LINEN BOARD ESPECIALLY FOR THIS DAY
380,I'LBET YEU DENTRILLY NE THOSE
381,HET ON MY FORN
382,SO LIGHTBERBS NEED CHANGING AGAIN
383,THERE WERE THREE HUNDRED DWELLS FIFTY THOUSAND DAETREES AND INNUMERABLE COLORED TENTS SPREAD AMONG THEM
384,I LOCKED EYES WITH THE FISH IN THE TANK
385,GOODS ALWAYS HAVE BET OF YOU
386,SHE REVERSED THE CHARGES
387,I GOT TWO GIANT BUGBITES ON MY RIHT LEG FROM LAST NIGHT AND THEY HURT
388,NOW YOU LISTEN TO ME
389,SOMETHING INSIDE THE CYLINDER WAS UNSCREWING THE TOP
390,THIS WAS THE STRANGEST OF ALL THINGS THAT EVER CAME TO EARTH FROM OUT OF SPACE
